SOF  LON  12-JUL-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type  ,Bus Group ,Account   ,Sub Acc   ,Contract       ,Delivery ,    Strike,      Lotsize,Sq,B,           Lots,    Lots Signed,        Price,Ccy,       Trx Value,  Trx Type, Trx Date,                                 Trx Ref,  Trade No,   Voucher,Trd Date            ,Prod Group,HseClt,CltBkr,Curr Date,LEI                 ,Trade Source,Trade Type
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12418.5,EUR,-1.6,       FEE,12-Jul-19,2 lots SEP-19  DAX F                    ,281684669,288692020,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12408,EUR,-1.6,       FEE,12-Jul-19,2 lots SEP-19  DAX F                    ,281684667,288692018,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12408,EUR,-2,COMMISSION,12-Jul-19,Buy 2 lots SEP-19  DAX F                ,281684667,288691952,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12378,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684675,288692042,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12373,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684674,288692044,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12383,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684678,288692046,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12379,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684680,288692040,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12367,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684679,288692038,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12407,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684683,288692036,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12380,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684677,288692034,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12380,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684676,288692032,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12380,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684682,288692030,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12382,EUR,-0.25,       FEE,12-Jul-19,1 lots SEP-19  FDXM FUT                 ,281684681,288695657,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12380,EUR,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  FDXM FUT            ,281684682,288691967,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12382,EUR,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  FDXM FUT            ,281684681,288691966,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12379,EUR,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  FDXM FUT            ,281684680,288691965,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12367,EUR,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  FDXM FUT            ,281684679,288691964,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12383,EUR,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  FDXM FUT             ,281684678,288691963,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12380,EUR,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  FDXM FUT             ,281684677,288691962,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12380,EUR,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  FDXM FUT             ,281684676,288691961,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12378,EUR,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  FDXM FUT             ,281684675,288691960,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12373,EUR,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  FDXM FUT             ,281684674,288691959,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12407,EUR,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  FDXM FUT            ,281684683,288691968,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.71,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  CME GBP F            ,281684684,288691969,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.9,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684695,288692072,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.8,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  CME GBP F            ,281684686,288691971,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.94,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  CME GBP F            ,281684687,288691972,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.94,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  CME GBP F            ,281684688,288691973,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.93,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  CME GBP F            ,281684689,288691974,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.92,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  CME GBP F            ,281684690,288691975,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.9,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  CME GBP F           ,281684691,288691976,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.83,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  CME GBP F           ,281684692,288691977,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.73,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  CME GBP F           ,281684693,288691978,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.73,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  CME GBP F           ,281684694,288691979,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.9,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  CME GBP F           ,281684695,288691980,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,2,-2,125.99,USD,-2,COMMISSION,12-Jul-19,Sell 2 lots SEP-19  CME GBP F           ,281684696,288691981,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.73,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684693,288692048,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.83,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684692,288692050,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.73,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684694,288692052,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,1,-1,125.9,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684691,288692054,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.92,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684690,288692056,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.93,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684689,288692058,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,S,2,-2,125.99,USD,-3.24,       FEE,12-Jul-19,2 lots SEP-19  CME GBP F                ,281684696,288692060,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.94,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684688,288692062,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.94,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684687,288692064,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.8,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684686,288692066,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.7,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684685,288692068,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.71,USD,-1.62,       FEE,12-Jul-19,1 lots SEP-19  CME GBP F                ,281684684,288692070,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.7,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  CME GBP F            ,281684685,288691970,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26960,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  $5 MINI DJ CBOT      ,281684697,288691982,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26899,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684705,288692100,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26910,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  $5 MINI DJ CBOT      ,281684699,288691984,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26893,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  $5 MINI DJ CBOT      ,281684700,288691985,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26968,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  $5 MINI DJ CBOT      ,281684701,288691986,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,27045,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  $5 MINI DJ CBOT      ,281684702,288691987,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
